**Prompt:**

You are presented with an event log of a finished project about the implementation of an IT  infrastructure for an application gateway to support Azure Boards. The event log captures a single project execution.

Below, you will find an event log in tabular format. Each row corresponds to an event: a specific activity performed on the  project at a given timestamp. The first event marks when the project started, and the last event marks the closure of the project. All timestamps are aligned to a common reference timeline. Activities that take significantly longer than average to execuyte suggest performance issues. Your task is to identify any patterns or factors that may be causing these delays.

**Event Log (Tabular Format):**

Project_ID;ID;Task_Name;Duration;Start_Date;Finish_Date;Resource_Names
US293949;3;Handover Planejamento;1 day;21.06.2024 09:00;21.06.2024 18:00;Solicitante
US293949;4;Alocar recurso/reunião P&I;1 day;24.06.2024 09:00;24.06.2024 18:00;P&I Manager
US293949;5;Realizar reunião com o solicitante/cliente;1 day;24.06.2024 09:00;24.06.2024 18:00;Project Manager
US293949;6;Montar Cronograma;1 day;24.06.2024 09:00;24.06.2024 18:00;Project Manager
US293949;7;Confirmar/garantir se a aplicação está cadastrada no Portal de Arquitetura/CMDB;1 day;24.06.2024 09:00;24.06.2024 18:00;Project Manager
US293949;9;Solicitar CF;1 day;25.06.2024 09:00;25.06.2024 18:00;Project Manager
US293949;11;Solicitar a Reserva/alocação de IP- Específico para servidores virtuais;1 day;24.06.2024 09:00;24.06.2024 18:00;Suporte Rede Corporativa
US293949;12;Formalização das licenças previamente autorizadas;1 day;24.06.2024 09:00;24.06.2024 18:00;Controle de Ativos
US293949;15;Handover para o RI;1 day;25.06.2024 09:00;25.06.2024 18:00;Project Manager
US293949;16;Abrir chamados implantação;1 day;25.06.2024 09:00;25.06.2024 18:00;Responsável Implantação
US293949;18;Cadastro de servidores no DNS (.intranet, .interno, .backup e etc);1 day;28.06.2024 09:00;28.06.2024 18:00;Suporte Windows
US293949;19;Cadastrar Servidor no GA - Windows;3 days;01.07.2024 09:00;03.07.2024 18:00;SCA_ACESSO
US293949;20;Liberar regras de firewall;6 days;25.06.2024 09:00;02.07.2024 18:00;"Segurança da Informação[50%];Suporte Rede Corporativa[50%];LFI"
US293949;23;Criação de estrutura de maquina virtual diferente de Windows - Servidor Virtual;1 day;26.06.2024 09:00;26.06.2024 18:00;Suporte Windows
US293949;24;Instalação do s.o. Windows e criação das partições - Servidor Virtual;2 days;27.06.2024 09:00;28.06.2024 18:00;Suporte Windows
US293949;25;Cadastro do IP de backup no media server - Windows;0 days;28.06.2024 18:00;28.06.2024 18:00;Suporte Unix
