**Prompt:**

You are presented with an event log of a finished project about the implementation of an IT  infrastructure for an application to discover network devices. The event log captures a single project execution.

Below, you will find an event log in tabular format. Each row corresponds to an event: a specific activity performed on the  project at a given timestamp. The first event marks when the project started, and the last event marks the closure of the project. All timestamps are aligned to a common reference timeline. Activities that take significantly longer than average to execuyte suggest performance issues. Your task is to identify any patterns or factors that may be causing these delays.

**Event Log (Tabular Format):**

Project_ID;ID;Task_Name;Duration;Start_Date;Finish_Date;Resource_Names
US285851;3;Handover Planejamento;1 day;26.03.2024 09:00;26.03.2024 18:00;Solicitante
US285851;4;Alocar recurso/reunião P&I;1 day;27.03.2024 09:00;27.03.2024 18:00;P&I Manager
US285851;5;Confirmar/garantir fonte orçamentária (FOI doador);55 days;27.03.2024 09:00;17.06.2024 18:00;Project Manager
US285851;6;Realizar reunião com o solicitante/cliente;2 days;18.06.2024 09:00;19.06.2024 18:00;Project Manager
US285851;7;Solicitante/cliente deverá informar a Data de Entrada de Produção dos Servidores (ativação da Monitoração);2 days;20.06.2024 09:00;21.06.2024 18:00;Solicitante
US285851;8;Confirmar/garantir se a aplicação está cadastrada no Portal de Arquitetura/CMDB;5 days;26.03.2024 09:00;02.04.2024 18:00;Project Manager
US285851;10;Montar DSOL para apresentar na Plenária(Atendendo checklist);10 days;24.06.2024 09:00;05.07.2024 18:00;Arquiteto de Soluções
US285851;11;Reunião com os times técnicos e/ou cliente;1 day;27.06.2024 09:00;27.06.2024 18:00;Project Manager
US285851;12;Solicitar um RI;1 day;08.07.2024 09:00;08.07.2024 18:00;Project Manager
US285851;13;Apresentar na Plenária 1;5 days;08.07.2024 09:00;12.07.2024 18:00;Arquiteto de Soluções
US285851;14;Solicitar aprovação do cliente;3 days;08.07.2024 09:00;10.07.2024 18:00;Project Manager
US285851;16;Solicitar CF;5 days;08.07.2024 09:00;12.07.2024 18:00;Project Manager
US285851;17;Solicitar reserva/alocação de todos os recursos envolvido no projeto;6 days;15.07.2024 09:00;22.07.2024 18:00;Planejamento de Disponibilidade
US285851;19;Solicitar reserva/alocação de todos os recursos envolvido no projeto;6 days;15.07.2024 09:00;22.07.2024 18:00;Planejamento de Disponibilidade
US285851;20;Solicitar a Reserva/alocação de IP- Específico para servidores virtuais;1 day;15.07.2024 09:00;15.07.2024 18:00;Suporte Rede Corporativa
